Variable,Measure,Country,Value
"Computed Tomography scanners, total",Number,France,1222.0
"Computed Tomography scanners, in hospitals",Number,France,724.0
"Computed Tomography scanners, in ambulatory sector",Number,France,498.0
"Magnetic Resonance Imaging units, total",Number,France,1034.0
"Magnetic Resonance Imaging units, in hospitals",Number,France,446.0
"Magnetic Resonance Imaging units, in ambulatory sector",Number,France,588.0
"Positron Emission Tomography (PET) scanners, total",Number,France,167.0
"Positron Emission Tomography (PET) scanners, in hospitals",Number,France,110.0
"Positron Emission Tomography (PET) scanners, in ambulatory sector",Number,France,57.0
"Gamma cameras, total",Number,France,462.0
"Gamma cameras, in hospitals",Number,France,299.0
"Gamma cameras, in ambulatory sector",Number,France,163.0
Publicly owned hospitals,Number,France,1354.0
Not-for-profit privately owned hospitals,Number,France,671.0
For-profit privately owned hospitals,Number,France,983.0
Medical graduates,Number,Germany,10234.0
Dentists graduates,Number,Germany,2463.0
Pharmacists graduates,Number,Germany,2304.0
Midwives graduates,Number,Germany,648.0
Nursing graduates,Number,Germany,45150.0
Professional nursing graduates,Number,Germany,36498.0
Associate Professional nursing graduates,Number,Germany,8652.0
Hospitals,Number,Germany,3026.0
General hospitals,Number,Germany,1576.0
Total hospital beds,Number,Germany,657662.0
Curative (acute) care beds,Number,Germany,494326.0
Psychiatric care beds,Number,Germany,108519.0
Long-term care beds,Number,Germany,0.0
Other hospital beds,Number,Germany,0.0
Beds in publicly owned hospitals,Number,Germany,264446.0
Beds in not-for-profit privately owned hospitals,Number,Germany,189580.0
Beds in for-profit privately owned hospitals,Number,Germany,203636.0
"Computed Tomography scanners, in hospitals",Number,Germany,1560.0
"Magnetic Resonance Imaging units, in hospitals",Number,Germany,1044.0
"Positron Emission Tomography (PET) scanners, in hospitals",Number,Germany,102.0
"Gamma cameras, in hospitals",Number,Germany,482.0
"Mammographs, in hospitals",Number,Germany,387.0
"Radiation therapy equipment, in hospitals",Number,Germany,386.0
Publicly owned hospitals,Number,Germany,750.0
Not-for-profit privately owned hospitals,Number,Germany,951.0
For-profit privately owned hospitals,Number,Germany,1325.0
Medical graduates,Number,Italy,10488.0
Dentists graduates,Number,Italy,919.0
Pharmacists graduates,Number,Italy,3112.0
Midwives graduates,Number,Italy,658.0
Nursing graduates,Number,Italy,10964.0
Professional nursing graduates,Number,Italy,10964.0
Associate Professional nursing graduates,Number,Italy,0.0
Hospitals,Number,Italy,1056.0
General hospitals,Number,Italy,893.0
Total hospital beds,Number,Italy,188909.0
Curative (acute) care beds,Number,Italy,155149.0
Psychiatric care beds,Number,Italy,4860.0
Long-term care beds,Number,Italy,8405.0
Other hospital beds,Number,Italy,0.0
Beds in publicly owned hospitals,Number,Italy,126149.0
Beds in not-for-profit privately owned hospitals,Number,Italy,7286.0
Beds in for-profit privately owned hospitals,Number,Italy,55474.0
"Computed Tomography scanners, total",Number,Italy,2178.0
"Computed Tomography scanners, in hospitals",Number,Italy,1561.0
"Computed Tomography scanners, in ambulatory sector",Number,Italy,617.0
"Magnetic Resonance Imaging units, total",Number,Italy,1805.0
"Magnetic Resonance Imaging units, in hospitals",Number,Italy,1059.0
"Magnetic Resonance Imaging units, in ambulatory sector",Number,Italy,746.0
"Positron Emission Tomography (PET) scanners, total",Number,Italy,212.0
"Positron Emission Tomography (PET) scanners, in hospitals",Number,Italy,167.0
"Positron Emission Tomography (PET) scanners, in ambulatory sector",Number,Italy,45.0
"Gamma cameras, total",Number,Italy,469.0
"Gamma cameras, in hospitals",Number,Italy,358.0
"Gamma cameras, in ambulatory sector",Number,Italy,111.0
"Mammographs, total",Number,Italy,2062.0
"Mammographs, in hospitals",Number,Italy,1132.0
"Mammographs, in ambulatory sector",Number,Italy,930.0
"Radiation therapy equipment, total",Number,Italy,445.0
"Radiation therapy equipment, in hospitals",Number,Italy,408.0
"Radiation therapy equipment, in ambulatory sector",Number,Italy,37.0
Publicly owned hospitals,Number,Italy,432.0
Not-for-profit privately owned hospitals,Number,Italy,34.0
For-profit privately owned hospitals,Number,Italy,590.0
Medical graduates,Number,Japan,9003.0
Dentists graduates,Number,Japan,2097.0
Pharmacists graduates,Number,Japan,12045.0
Nursing graduates,Number,Japan,65920.0
Professional nursing graduates,Number,Japan,58185.0
Associate Professional nursing graduates,Number,Japan,7735.0
Hospitals,Number,Japan,8300.0
General hospitals,Number,Japan,7246.0
Total hospital beds,Number,Japan,1620040.0
Curative (acute) care beds,Number,Japan,977048.0
Psychiatric care beds,Number,Japan,326666.0
Long-term care beds,Number,Japan,316326.0
Other hospital beds,Number,Japan,326666.0
Beds in publicly owned hospitals,Number,Japan,442741.0
Publicly owned hospitals,Number,Japan,1524.0
Medical graduates,Number,Netherlands,2620.0
Dentists graduates,Number,Netherlands,230.0
Pharmacists graduates,Number,Netherlands,230.0
Midwives graduates,Number,Netherlands,150.0
Nursing graduates,Number,Netherlands,10160.0
Professional nursing graduates,Number,Netherlands,4290.0
Associate Professional nursing graduates,Number,Netherlands,5870.0
Hospitals,Number,Netherlands,568.0
General hospitals,Number,Netherlands,75.0
Total hospital beds,Number,Netherlands,53394.0
Curative (acute) care beds,Number,Netherlands,45389.0
Psychiatric care beds,Number,Netherlands,13895.0
Long-term care beds,Number,Netherlands,6182.0
Other hospital beds,Number,Netherlands,0.0
Beds in not-for-profit privately owned hospitals,Number,Netherlands,53394.0
"Computed Tomography scanners, total",Number,Netherlands,258.0
"Computed Tomography scanners, in hospitals",Number,Netherlands,244.0
"Computed Tomography scanners, in ambulatory sector",Number,Netherlands,14.0
"Magnetic Resonance Imaging units, total",Number,Netherlands,240.0
"Magnetic Resonance Imaging units, in hospitals",Number,Netherlands,217.0
"Magnetic Resonance Imaging units, in ambulatory sector",Number,Netherlands,23.0
"Positron Emission Tomography (PET) scanners, total",Number,Netherlands,78.0
"Positron Emission Tomography (PET) scanners, in hospitals",Number,Netherlands,76.0
"Positron Emission Tomography (PET) scanners, in ambulatory sector",Number,Netherlands,2.0
"Gamma cameras, total",Number,Netherlands,129.0
"Gamma cameras, in hospitals",Number,Netherlands,129.0
"Gamma cameras, in ambulatory sector",Number,Netherlands,0.0
Publicly owned hospitals,Number,Netherlands,0.0
Not-for-profit privately owned hospitals,Number,Netherlands,133.0
For-profit privately owned hospitals,Number,Netherlands,435.0
Medical graduates,Number,New Zealand,493.0
Dentists graduates,Number,New Zealand,114.0
Pharmacists graduates,Number,New Zealand,224.0
Midwives graduates,Number,New Zealand,214.0
Nursing graduates,Number,New Zealand,1988.0
Professional nursing graduates,Number,New Zealand,1822.0
Associate Professional nursing graduates,Number,New Zealand,166.0
Hospitals,Number,New Zealand,160.0
General hospitals,Number,New Zealand,51.0
Total hospital beds,Number,New Zealand,12667.0
Curative (acute) care beds,Number,New Zealand,12536.0
Psychiatric care beds,Number,New Zealand,1585.0
Long-term care beds,Number,New Zealand,131.0
Beds in publicly owned hospitals,Number,New Zealand,10763.0
Beds in not-for-profit privately owned hospitals,Number,New Zealand,446.0
Beds in for-profit privately owned hospitals,Number,New Zealand,1458.0
"Computed Tomography scanners, total",Number,New Zealand,76.0
"Magnetic Resonance Imaging units, total",Number,New Zealand,76.0
"Positron Emission Tomography (PET) scanners, total",Number,New Zealand,5.0
"Gamma cameras, total",Number,New Zealand,18.0
"Mammographs, total",Number,New Zealand,97.0
"Radiation therapy equipment, total",Number,New Zealand,43.0
Publicly owned hospitals,Number,New Zealand,83.0
Not-for-profit privately owned hospitals,Number,New Zealand,26.0
For-profit privately owned hospitals,Number,New Zealand,51.0
Medical graduates,Number,Norway,606.0
Dentists graduates,Number,Norway,125.0
Pharmacists graduates,Number,Norway,167.0
Midwives graduates,Number,Norway,146.0
Nursing graduates,Number,Norway,4269.0
Professional nursing graduates,Number,Norway,4269.0
Associate Professional nursing graduates,Number,Norway,0.0
Total hospital beds,Number,Norway,18555.0
Curative (acute) care beds,Number,Norway,16605.0
Psychiatric care beds,Number,Norway,5552.0
Long-term care beds,Number,Norway,0.0
Other hospital beds,Number,Norway,1950.0
Beds in publicly owned hospitals,Number,Norway,14087.0
"Computed Tomography scanners, total",Number,Norway,141.0
"Magnetic Resonance Imaging units, total",Number,Norway,93.0
"Positron Emission Tomography (PET) scanners, total",Number,Norway,6.0
"Gamma cameras, total",Number,Norway,19.0
"Mammographs, total",Number,Norway,66.0
"Radiation therapy equipment, total",Number,Norway,63.0
Medical graduates,Number,Sweden,1385.0
Dentists graduates,Number,Sweden,266.0
Pharmacists graduates,Number,Sweden,462.0
Midwives graduates,Number,Sweden,354.0
Professional nursing graduates,Number,Sweden,4443.0
Total hospital beds,Number,Sweden,21287.94
Curative (acute) care beds,Number,Sweden,19575.7
Psychiatric care beds,Number,Sweden,4172.24
Other hospital beds,Number,Sweden,104.3
"Computed Tomography scanners, in hospitals",Number,Sweden,269.0
"Magnetic Resonance Imaging units, in hospitals",Number,Sweden,171.0
"Positron Emission Tomography (PET) scanners, in hospitals",Number,Sweden,23.0
"Gamma cameras, in hospitals",Number,Sweden,73.0
"Mammographs, in hospitals",Number,Sweden,192.0
"Radiation therapy equipment, in hospitals",Number,Sweden,67.0
Medical graduates,Number,Switzerland,1017.0
Dentists graduates,Number,Switzerland,133.0
Pharmacists graduates,Number,Switzerland,228.0
Midwives graduates,Number,Switzerland,173.0
Nursing graduates,Number,Switzerland,9280.0
Professional nursing graduates,Number,Switzerland,3682.0
Associate Professional nursing graduates,Number,Switzerland,5598.0
Hospitals,Number,Switzerland,281.0
General hospitals,Number,Switzerland,105.0
Total hospital beds,Number,Switzerland,39390.0
Curative (acute) care beds,Number,Switzerland,30755.0
Psychiatric care beds,Number,Switzerland,7934.0
Long-term care beds,Number,Switzerland,1329.0
Other hospital beds,Number,Switzerland,0.0
"Computed Tomography scanners, total",Number,Switzerland,332.0
"Computed Tomography scanners, in hospitals",Number,Switzerland,219.0
"Computed Tomography scanners, in ambulatory sector",Number,Switzerland,113.0
"Magnetic Resonance Imaging units, in hospitals",Number,Switzerland,215.0
"Positron Emission Tomography (PET) scanners, total",Number,Switzerland,33.0
"Positron Emission Tomography (PET) scanners, in hospitals",Number,Switzerland,33.0
"Positron Emission Tomography (PET) scanners, in ambulatory sector",Number,Switzerland,0.0
"Gamma cameras, in hospitals",Number,Switzerland,61.0
"Mammographs, total",Number,Switzerland,251.0
"Radiation therapy equipment, total",Number,Switzerland,164.0
"Radiation therapy equipment, in hospitals",Number,Switzerland,62.0
"Radiation therapy equipment, in ambulatory sector",Number,Switzerland,102.0
Medical graduates,Number,United Kingdom,8730.0
Dentists graduates,Number,United Kingdom,1200.0
Pharmacists graduates,Number,United Kingdom,3330.0
Hospitals,Number,United Kingdom,1978.0
General hospitals,Number,United Kingdom,764.0
Total hospital beds,Number,United Kingdom,163873.04
Psychiatric care beds,Number,United Kingdom,23658.0
Beds in publicly owned hospitals,Number,United Kingdom,163873.04
"Computed Tomography scanners, in hospitals",Number,United Kingdom,585.0
"Magnetic Resonance Imaging units, in hospitals",Number,United Kingdom,491.0
"Positron Emission Tomography (PET) scanners, in hospitals",Number,United Kingdom,24.0
"Gamma cameras, in hospitals",Number,United Kingdom,325.0
"Mammographs, in hospitals",Number,United Kingdom,545.0
Publicly owned hospitals,Number,United Kingdom,1978.0
Medical graduates,Number,United States,26641.0
Dentists graduates,Number,United States,6350.0
Pharmacists graduates,Number,United States,14800.0
Midwives graduates,Number,United States,988.0
Nursing graduates,Number,United States,215234.0
Professional nursing graduates,Number,United States,168739.0
Associate Professional nursing graduates,Number,United States,46495.0
"Computed Tomography scanners, total",Number,United States,14750.0
"Computed Tomography scanners, in hospitals",Number,United States,9320.0
"Computed Tomography scanners, in ambulatory sector",Number,United States,5430.0
"Magnetic Resonance Imaging units, total",Number,United States,13275.0
"Magnetic Resonance Imaging units, in hospitals",Number,United States,5935.0
"Magnetic Resonance Imaging units, in ambulatory sector",Number,United States,7340.0
"Positron Emission Tomography (PET) scanners, total",Number,United States,1790.0
"Positron Emission Tomography (PET) scanners, in hospitals",Number,United States,680.0
"Positron Emission Tomography (PET) scanners, in ambulatory sector",Number,United States,1110.0
"Gamma cameras, total",Number,United States,16010.0
"Mammographs, total",Number,United States,20952.0
"Radiation therapy equipment, total",Number,United States,3850.0
"Radiation therapy equipment, in hospitals",Number,United States,2700.0
"Radiation therapy equipment, in ambulatory sector",Number,United States,1150.0
Total hospital beds,Number,China (People's Republic of),6866500.0
Medical graduates,Number,Israel,654.0
Dentists graduates,Number,Israel,91.0
Pharmacists graduates,Number,Israel,116.0
Midwives graduates,Number,Israel,165.0
Nursing graduates,Number,Israel,2404.0
Professional nursing graduates,Number,Israel,2281.0
Associate Professional nursing graduates,Number,Israel,123.0
Hospitals,Number,Israel,83.0
General hospitals,Number,Israel,45.0
Total hospital beds,Number,Israel,26776.0
Curative (acute) care beds,Number,Israel,19778.0
Psychiatric care beds,Number,Israel,3467.0
Long-term care beds,Number,Israel,2339.0
Other hospital beds,Number,Israel,2208.0
Beds in publicly owned hospitals,Number,Israel,18370.0
Beds in not-for-profit privately owned hospitals,Number,Israel,5334.0
Beds in for-profit privately owned hospitals,Number,Israel,3072.0
"Computed Tomography scanners, total",Number,Israel,88.0
"Computed Tomography scanners, in hospitals",Number,Israel,79.0
"Computed Tomography scanners, in ambulatory sector",Number,Israel,9.0
"Magnetic Resonance Imaging units, total",Number,Israel,46.0
"Magnetic Resonance Imaging units, in hospitals",Number,Israel,42.0
"Magnetic Resonance Imaging units, in ambulatory sector",Number,Israel,4.0
"Positron Emission Tomography (PET) scanners, total",Number,Israel,14.0
"Positron Emission Tomography (PET) scanners, in hospitals",Number,Israel,14.0
"Positron Emission Tomography (PET) scanners, in ambulatory sector",Number,Israel,0.0
"Gamma cameras, total",Number,Israel,83.0
"Gamma cameras, in hospitals",Number,Israel,66.0
"Gamma cameras, in ambulatory sector",Number,Israel,17.0
"Radiation therapy equipment, total",Number,Israel,37.0
"Radiation therapy equipment, in hospitals",Number,Israel,37.0
"Radiation therapy equipment, in ambulatory sector",Number,Israel,0.0
Publicly owned hospitals,Number,Israel,37.0
Not-for-profit privately owned hospitals,Number,Israel,26.0
For-profit privately owned hospitals,Number,Israel,20.0
Practising physicians,Number of persons (head counts),Australia,97039.0
Professionally active physicians,Number of persons (head counts),Australia,101841.0
Physicians licensed to practice,Number of persons (head counts),Australia,118338.0
Total female physicians,Number of persons (head counts),Australia,41275.0
Female physicians under 35 years old,Number of persons (head counts),Australia,12581.0
Female physicians aged 35-44 years old,Number of persons (head counts),Australia,12800.0
Female physicians aged 45-54 years old,Number of persons (head counts),Australia,8661.0
Female physicians aged 55-64 years old,Number of persons (head counts),Australia,5429.0
Female physicians aged 65-74 years old,Number of persons (head counts),Australia,1592.0
Total male physicians,Number of persons (head counts),Australia,55764.0
Male physicians under 35 years old,Number of persons (head counts),Australia,11617.0
Male physicians aged 35-44 years old,Number of persons (head counts),Australia,14152.0
Male physicians aged 45-54 years old,Number of persons (head counts),Australia,12350.0
Male physicians aged 55-64 years old,Number of persons (head counts),Australia,10309.0
Male physicians aged 65-74 years old,Number of persons (head counts),Australia,5873.0
Total physicians,Number of persons (head counts),Australia,97039.0
Total physicians under 35 years old,Number of persons (head counts),Australia,24198.0
Total physicians aged 35-44 years old,Number of persons (head counts),Australia,26952.0
Total physicians aged 45-54 years old,Number of persons (head counts),Australia,21011.0
Total physicians aged 55-64 years old,Number of persons (head counts),Australia,15738.0
Total physicians aged 65-74 years old,Number of persons (head counts),Australia,7465.0
Generalist medical practitioners,Number of persons (head counts),Australia,43200.0
General paediatricians,Number of persons (head counts),Australia,2553.0
Obstetricians and gynaecologists,Number of persons (head counts),Australia,2218.0
Psychiatrists,Number of persons (head counts),Australia,4487.0
Medical group of specialists,Number of persons (head counts),Australia,14859.0
Surgical group of specialists,Number of persons (head counts),Australia,17072.0
Medical doctors not further defined,Number of persons (head counts),Australia,7071.0
Practising midwives,Number of persons (head counts),Australia,21235.0
Professionally active midwives,Number of persons (head counts),Australia,23447.0
Midwives licensed to practice,Number of persons (head counts),Australia,32021.0
Practising nurses,Number of persons (head counts),Australia,309906.0
"Professional nurses, practising",Number of persons (head counts),Australia,259017.0
"Associate Professional nurses, practising",Number of persons (head counts),Australia,50889.0
Professionally active nurses,Number of persons (head counts),Australia,340210.0
"Professional nurses, professionally active",Number of persons (head counts),Australia,286916.0
"Associate Professional nurses, professionally active",Number of persons (head counts),Australia,53294.0
Nurses licensed to practice,Number of persons (head counts),Australia,399282.0
"Professional nurses, licensed to practice",Number of persons (head counts),Australia,335947.0
"Associate Professional nurses, licensed to practice",Number of persons (head counts),Australia,63335.0
Practising dentists,Number of persons (head counts),Australia,15517.0
Professionally active dentists,Number of persons (head counts),Australia,15978.0
Dentists licensed to practice,Number of persons (head counts),Australia,18061.0
Practising pharmacists,Number of persons (head counts),Australia,22599.0
Professionally active pharmacists,Number of persons (head counts),Australia,25845.0
Pharmacists licensed to practice,Number of persons (head counts),Australia,32258.0
Practising physiotherapists,Number of persons (head counts),Australia,27158.0
Other specialists not elsewhere classified,Number of persons (head counts),Australia,5579.0
General practitioners,Number of persons (head counts),Australia,31102.0
Other generalist (non-specialist) medical practitioners,Number of persons (head counts),Australia,12098.0
Specialist medical practitioners,Number of persons (head counts),Australia,46768.0
Total health and social employment,Number of persons (head counts),Canada,2212915.0
Practising physicians,Number of persons (head counts),Canada,102853.0
Professionally active physicians,Number of persons (head counts),Canada,104589.0
Physicians licensed to practice,Number of persons (head counts),Canada,109927.0
Total female physicians,Number of persons (head counts),Canada,46193.0
Female physicians under 35 years old,Number of persons (head counts),Canada,14217.0
Female physicians aged 35-44 years old,Number of persons (head counts),Canada,12183.0
Female physicians aged 45-54 years old,Number of persons (head counts),Canada,9092.0
Female physicians aged 55-64 years old,Number of persons (head counts),Canada,7286.0
Female physicians aged 65-74 years old,Number of persons (head counts),Canada,2527.0
Total male physicians,Number of persons (head counts),Canada,58396.0
Male physicians under 35 years old,Number of persons (head counts),Canada,12079.0
Male physicians aged 35-44 years old,Number of persons (head counts),Canada,11308.0
Male physicians aged 45-54 years old,Number of persons (head counts),Canada,11469.0
Male physicians aged 55-64 years old,Number of persons (head counts),Canada,12193.0
Male physicians aged 65-74 years old,Number of persons (head counts),Canada,8464.0
Total physicians,Number of persons (head counts),Canada,104589.0
Total physicians under 35 years old,Number of persons (head counts),Canada,26296.0
Total physicians aged 35-44 years old,Number of persons (head counts),Canada,23491.0
Total physicians aged 45-54 years old,Number of persons (head counts),Canada,20561.0
Total physicians aged 55-64 years old,Number of persons (head counts),Canada,19479.0
Total physicians aged 65-74 years old,Number of persons (head counts),Canada,10991.0
Generalist medical practitioners,Number of persons (head counts),Canada,49670.0
General paediatricians,Number of persons (head counts),Canada,3767.0
Obstetricians and gynaecologists,Number of persons (head counts),Canada,3046.0
Psychiatrists,Number of persons (head counts),Canada,6580.0
Medical group of specialists,Number of persons (head counts),Canada,24811.0
Surgical group of specialists,Number of persons (head counts),Canada,15994.0
Midwives licensed to practice,Number of persons (head counts),Canada,1653.0
Practising nurses,Number of persons (head counts),Canada,375319.0
"Professional nurses, practising",Number of persons (head counts),Canada,266396.0
"Associate Professional nurses, practising",Number of persons (head counts),Canada,108923.0
Professionally active nurses,Number of persons (head counts),Canada,411138.0
"Professional nurses, professionally active",Number of persons (head counts),Canada,296791.0
"Associate Professional nurses, professionally active",Number of persons (head counts),Canada,114347.0
Nurses licensed to practice,Number of persons (head counts),Canada,439975.0
"Professional nurses, licensed to practice",Number of persons (head counts),Canada,312878.0
"Associate Professional nurses, licensed to practice",Number of persons (head counts),Canada,127097.0
Practising caring personnel,Number of persons (head counts),Canada,232280.0
Practising dentists,Number of persons (head counts),Canada,24590.0
Dentists licensed to practice,Number of persons (head counts),Canada,24805.0
Practising pharmacists,Number of persons (head counts),Canada,38966.0
Professionally active pharmacists,Number of persons (head counts),Canada,41342.0
Pharmacists licensed to practice,Number of persons (head counts),Canada,43744.0
Practising physiotherapists,Number of persons (head counts),Canada,24384.0
Total hospital employment,Number of persons (head counts),Canada,644045.0
Physicians employed in hospitals,Number of persons (head counts),Canada,36971.0
Professional nurses and midwives employed in hospitals,Number of persons (head counts),Canada,187659.0
Associate nurses employed in hospitals,Number of persons (head counts),Canada,51061.0
Health care assistants employed in hospitals,Number of persons (head counts),Canada,57441.0
Other health service providers employed in hospitals,Number of persons (head counts),Canada,92663.0
Other staff employed in hospitals,Number of persons (head counts),Canada,218250.0
Other specialists not elsewhere classified,Number of persons (head counts),Canada,721.0
General practitioners,Number of persons (head counts),Canada,49670.0
Other generalist (non-specialist) medical practitioners,Number of persons (head counts),Canada,0.0
Specialist medical practitioners,Number of persons (head counts),Canada,54919.0
Total health and social employment,Number of persons (head counts),Denmark,525000.0
Practising physicians,Number of persons (head counts),France,213201.0
Professionally active physicians,Number of persons (head counts),France,226225.0
Total female physicians,Number of persons (head counts),France,98234.0
Female physicians under 35 years old,Number of persons (head counts),France,20898.0
Female physicians aged 35-44 years old,Number of persons (head counts),France,24886.0
Female physicians aged 45-54 years old,Number of persons (head counts),France,21212.0
Female physicians aged 55-64 years old,Number of persons (head counts),France,24150.0
Female physicians aged 65-74 years old,Number of persons (head counts),France,6656.0
Total male physicians,Number of persons (head counts),France,114967.0
Male physicians under 35 years old,Number of persons (head counts),France,12260.0
Male physicians aged 35-44 years old,Number of persons (head counts),France,18322.0
Male physicians aged 45-54 years old,Number of persons (head counts),France,21169.0
Male physicians aged 55-64 years old,Number of persons (head counts),France,39339.0
Male physicians aged 65-74 years old,Number of persons (head counts),France,21603.0
Total physicians,Number of persons (head counts),France,213201.0
Total physicians under 35 years old,Number of persons (head counts),France,33158.0
Total physicians aged 35-44 years old,Number of persons (head counts),France,43208.0
Total physicians aged 45-54 years old,Number of persons (head counts),France,42381.0
Total physicians aged 55-64 years old,Number of persons (head counts),France,63489.0
Total physicians aged 65-74 years old,Number of persons (head counts),France,28259.0
Generalist medical practitioners,Number of persons (head counts),France,94442.0
General paediatricians,Number of persons (head counts),France,8306.0
Obstetricians and gynaecologists,Number of persons (head counts),France,8000.0
Psychiatrists,Number of persons (head counts),France,15373.0
Medical group of specialists,Number of persons (head counts),France,51766.0
Surgical group of specialists,Number of persons (head counts),France,32213.0
Practising midwives,Number of persons (head counts),France,23139.0
Professionally active midwives,Number of persons (head counts),France,23175.0
Professionally active nurses,Number of persons (head counts),France,744307.0
"Professional nurses, professionally active",Number of persons (head counts),France,744307.0
"Associate Professional nurses, professionally active",Number of persons (head counts),France,0.0
Professionally active caring personnel,Number of persons (head counts),France,1164336.0
Practising dentists,Number of persons (head counts),France,42559.0
Professionally active dentists,Number of persons (head counts),France,42842.0
Practising pharmacists,Number of persons (head counts),France,69078.0
Professionally active pharmacists,Number of persons (head counts),France,73788.0
Practising physiotherapists,Number of persons (head counts),France,87630.0
Total hospital employment,Number of persons (head counts),France,1322184.0
Physicians employed in hospitals,Number of persons (head counts),France,177390.0
Professional nurses and midwives employed in hospitals,Number of persons (head counts),France,385611.0
Associate nurses employed in hospitals,Number of persons (head counts),France,0.0
Health care assistants employed in hospitals,Number of persons (head counts),France,245227.0
Other health service providers employed in hospitals,Number of persons (head counts),France,69201.0
Other staff employed in hospitals,Number of persons (head counts),France,444755.0
Other specialists not elsewhere classified,Number of persons (head counts),France,3101.0
General practitioners,Number of persons (head counts),France,58493.0
Other generalist (non-specialist) medical practitioners,Number of persons (head counts),France,35949.0
Specialist medical practitioners,Number of persons (head counts),France,118759.0
Total health and social employment,Number of persons (head counts),Germany,6058000.0
Practising physicians,Number of persons (head counts),Germany,365100.0
Professionally active physicians,Number of persons (head counts),Germany,400336.0
Physicians licensed to practice,Number of persons (head counts),Germany,523506.0
Total female physicians,Number of persons (head counts),Germany,173703.0
Female physicians under 35 years old,Number of persons (head counts),Germany,41847.0
