Country,Indicator,Gender,Age Group,VAL,Value.1
Norway,Hip-fracture surgery initiated within the same day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,27.4
Sweden,Hip-fracture surgery initiated within 2 days after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,93.8
Sweden,Hip-fracture surgery initiated within the following day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,83.6
Sweden,Hip-fracture surgery initiated within the same day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,36.0
Sweden,Hip-fracture surgery initiated within 2 days after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,93.5
Sweden,Hip-fracture surgery initiated within the following day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,84.6
Sweden,Hip-fracture surgery initiated within the same day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,37.7
Sweden,Hip-fracture surgery initiated within 2 days after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,93.7
Sweden,Hip-fracture surgery initiated within the following day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,84.2
Sweden,Hip-fracture surgery initiated within the same day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,36.9
United Kingdom,Hip-fracture surgery initiated within 2 days after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,86.8
United Kingdom,Hip-fracture surgery initiated within 2 days after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,90.2
United Kingdom,Hip-fracture surgery initiated within 2 days after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,88.7
Israel,Hip-fracture surgery initiated within 2 days after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,87.9
Israel,Hip-fracture surgery initiated within the following day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,67.2
Israel,Hip-fracture surgery initiated within the same day after admission to the hospital,Male,65 years old and over,CRUDE_RATE_CPAT,20.4
Israel,Hip-fracture surgery initiated within 2 days after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,88.3
Israel,Hip-fracture surgery initiated within the following day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,68.0
Israel,Hip-fracture surgery initiated within the same day after admission to the hospital,Female,65 years old and over,CRUDE_RATE_CPAT,19.6
Israel,Hip-fracture surgery initiated within 2 days after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,88.1
Israel,Hip-fracture surgery initiated within the following day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,67.5
Israel,Hip-fracture surgery initiated within the same day after admission to the hospital,Total,65 years old and over,CRUDE_RATE_CPAT,20.1
Canada,AMI 30 day mortality using linked data,Male,45 years old and over,AS_STD_RATE_CPAT,6.3
Canada,AMI 30 day mortality using linked data,Male,45 years old and over,LOW_CI,6.1
Canada,AMI 30 day mortality using linked data,Male,45 years old and over,UP_CI,6.6
Canada,AMI 30 day mortality using unlinked data,Male,45 years old and over,AS_STD_RATE_CPAT,4.4
Canada,AMI 30 day mortality using unlinked data,Male,45 years old and over,LOW_CI,4.2
Canada,AMI 30 day mortality using unlinked data,Male,45 years old and over,UP_CI,4.6
Canada,Hemorrhagic stroke 30 day mortality using linked data,Male,45 years old and over,AS_STD_RATE_CPAT,28.8
Canada,Hemorrhagic stroke 30 day mortality using linked data,Male,45 years old and over,LOW_CI,27.1
Canada,Hemorrhagic stroke 30 day mortality using linked data,Male,45 years old and over,UP_CI,30.5
Canada,Hemorrhagic stroke 30 day mortality using unlinked data,Male,45 years old and over,AS_STD_RATE_CPAT,24.7
Canada,Hemorrhagic stroke 30 day mortality using unlinked data,Male,45 years old and over,LOW_CI,23.3
Canada,Hemorrhagic stroke 30 day mortality using unlinked data,Male,45 years old and over,UP_CI,26.2
Canada,Ischemic stroke 30 day mortality using linked data,Male,45 years old and over,AS_STD_RATE_CPAT,9.3
Canada,Ischemic stroke 30 day mortality using linked data,Male,45 years old and over,LOW_CI,8.8
Canada,Ischemic stroke 30 day mortality using linked data,Male,45 years old and over,UP_CI,9.8
Canada,Ischemic stroke 30 day mortality using unlinked data,Male,45 years old and over,AS_STD_RATE_CPAT,7.6
Canada,Ischemic stroke 30 day mortality using unlinked data,Male,45 years old and over,LOW_CI,7.2
Canada,Ischemic stroke 30 day mortality using unlinked data,Male,45 years old and over,UP_CI,8.0
Canada,AMI 30 day mortality using linked data,Female,45 years old and over,AS_STD_RATE_CPAT,6.7
Canada,AMI 30 day mortality using linked data,Female,45 years old and over,LOW_CI,6.4
Canada,AMI 30 day mortality using linked data,Female,45 years old and over,UP_CI,7.1
Canada,AMI 30 day mortality using unlinked data,Female,45 years old and over,AS_STD_RATE_CPAT,4.9
Canada,AMI 30 day mortality using unlinked data,Female,45 years old and over,LOW_CI,4.7
Canada,AMI 30 day mortality using unlinked data,Female,45 years old and over,UP_CI,5.2
Canada,Hemorrhagic stroke 30 day mortality using linked data,Female,45 years old and over,AS_STD_RATE_CPAT,26.8
Canada,Hemorrhagic stroke 30 day mortality using linked data,Female,45 years old and over,LOW_CI,25.2
Canada,Hemorrhagic stroke 30 day mortality using linked data,Female,45 years old and over,UP_CI,28.3
Canada,Hemorrhagic stroke 30 day mortality using unlinked data,Female,45 years old and over,AS_STD_RATE_CPAT,22.8
Canada,Hemorrhagic stroke 30 day mortality using unlinked data,Female,45 years old and over,LOW_CI,21.5
Canada,Hemorrhagic stroke 30 day mortality using unlinked data,Female,45 years old and over,UP_CI,24.1
Canada,Ischemic stroke 30 day mortality using linked data,Female,45 years old and over,AS_STD_RATE_CPAT,9.1
Canada,Ischemic stroke 30 day mortality using linked data,Female,45 years old and over,LOW_CI,8.6
Canada,Ischemic stroke 30 day mortality using linked data,Female,45 years old and over,UP_CI,9.5
Canada,Ischemic stroke 30 day mortality using unlinked data,Female,45 years old and over,AS_STD_RATE_CPAT,7.5
Canada,Ischemic stroke 30 day mortality using unlinked data,Female,45 years old and over,LOW_CI,7.1
Canada,Ischemic stroke 30 day mortality using unlinked data,Female,45 years old and over,UP_CI,7.8
Canada,AMI 30 day mortality using linked data,Total,45 years old and over,AS_STD_RATE_CPAT,6.4
Canada,AMI 30 day mortality using linked data,Total,45 years old and over,LOW_CI,6.2
Canada,AMI 30 day mortality using linked data,Total,45 years old and over,UP_CI,6.6
Canada,AMI 30 day mortality using unlinked data,Total,45 years old and over,AS_STD_RATE_CPAT,4.6
Canada,AMI 30 day mortality using unlinked data,Total,45 years old and over,LOW_CI,4.5
Canada,AMI 30 day mortality using unlinked data,Total,45 years old and over,UP_CI,4.8
Canada,Hemorrhagic stroke 30 day mortality using linked data,Total,45 years old and over,AS_STD_RATE_CPAT,27.6
Canada,Hemorrhagic stroke 30 day mortality using linked data,Total,45 years old and over,LOW_CI,26.5
Canada,Hemorrhagic stroke 30 day mortality using linked data,Total,45 years old and over,UP_CI,28.7
Canada,Hemorrhagic stroke 30 day mortality using unlinked data,Total,45 years old and over,AS_STD_RATE_CPAT,23.6
Canada,Hemorrhagic stroke 30 day mortality using unlinked data,Total,45 years old and over,LOW_CI,22.6
Canada,Hemorrhagic stroke 30 day mortality using unlinked data,Total,45 years old and over,UP_CI,24.5
Canada,Ischemic stroke 30 day mortality using linked data,Total,45 years old and over,AS_STD_RATE_CPAT,9.2
Canada,Ischemic stroke 30 day mortality using linked data,Total,45 years old and over,LOW_CI,8.9
Canada,Ischemic stroke 30 day mortality using linked data,Total,45 years old and over,UP_CI,9.5
Canada,Ischemic stroke 30 day mortality using unlinked data,Total,45 years old and over,AS_STD_RATE_CPAT,7.5
Canada,Ischemic stroke 30 day mortality using unlinked data,Total,45 years old and over,LOW_CI,7.3
Canada,Ischemic stroke 30 day mortality using unlinked data,Total,45 years old and over,UP_CI,7.8
Denmark,AMI 30 day mortality using linked data,Male,45 years old and over,AS_STD_RATE_CPAT,6.7
Denmark,AMI 30 day mortality using linked data,Male,45 years old and over,LOW_CI,5.9
Denmark,AMI 30 day mortality using linked data,Male,45 years old and over,UP_CI,7.4
Denmark,AMI 30 day mortality using unlinked data,Male,45 years old and over,AS_STD_RATE_CPAT,4.6
Denmark,AMI 30 day mortality using unlinked data,Male,45 years old and over,LOW_CI,4.0
Denmark,AMI 30 day mortality using unlinked data,Male,45 years old and over,UP_CI,5.2
Denmark,Hemorrhagic stroke 30 day mortality using linked data,Male,45 years old and over,AS_STD_RATE_CPAT,28.4
Denmark,Hemorrhagic stroke 30 day mortality using linked data,Male,45 years old and over,LOW_CI,25.9
Denmark,Hemorrhagic stroke 30 day mortality using linked data,Male,45 years old and over,UP_CI,31.0
Denmark,Hemorrhagic stroke 30 day mortality using unlinked data,Male,45 years old and over,AS_STD_RATE_CPAT,23.8
Denmark,Hemorrhagic stroke 30 day mortality using unlinked data,Male,45 years old and over,LOW_CI,21.4
Denmark,Hemorrhagic stroke 30 day mortality using unlinked data,Male,45 years old and over,UP_CI,26.2
Denmark,Ischemic stroke 30 day mortality using linked data,Male,45 years old and over,AS_STD_RATE_CPAT,8.2
Denmark,Ischemic stroke 30 day mortality using linked data,Male,45 years old and over,LOW_CI,7.4
Denmark,Ischemic stroke 30 day mortality using linked data,Male,45 years old and over,UP_CI,9.0
Denmark,Ischemic stroke 30 day mortality using unlinked data,Male,45 years old and over,AS_STD_RATE_CPAT,5.2
Denmark,Ischemic stroke 30 day mortality using unlinked data,Male,45 years old and over,LOW_CI,4.5
Denmark,Ischemic stroke 30 day mortality using unlinked data,Male,45 years old and over,UP_CI,5.8
Denmark,AMI 30 day mortality using linked data,Female,45 years old and over,AS_STD_RATE_CPAT,6.4
Denmark,AMI 30 day mortality using linked data,Female,45 years old and over,LOW_CI,5.6
Denmark,AMI 30 day mortality using linked data,Female,45 years old and over,UP_CI,7.3
Denmark,AMI 30 day mortality using unlinked data,Female,45 years old and over,AS_STD_RATE_CPAT,4.0
Denmark,AMI 30 day mortality using unlinked data,Female,45 years old and over,LOW_CI,3.4
Denmark,AMI 30 day mortality using unlinked data,Female,45 years old and over,UP_CI,4.7
Denmark,Hemorrhagic stroke 30 day mortality using linked data,Female,45 years old and over,AS_STD_RATE_CPAT,29.1
Denmark,Hemorrhagic stroke 30 day mortality using linked data,Female,45 years old and over,LOW_CI,26.6
Denmark,Hemorrhagic stroke 30 day mortality using linked data,Female,45 years old and over,UP_CI,31.5
Denmark,Hemorrhagic stroke 30 day mortality using unlinked data,Female,45 years old and over,AS_STD_RATE_CPAT,24.1
Denmark,Hemorrhagic stroke 30 day mortality using unlinked data,Female,45 years old and over,LOW_CI,21.8
Denmark,Hemorrhagic stroke 30 day mortality using unlinked data,Female,45 years old and over,UP_CI,26.4
Denmark,Ischemic stroke 30 day mortality using linked data,Female,45 years old and over,AS_STD_RATE_CPAT,9.5
Denmark,Ischemic stroke 30 day mortality using linked data,Female,45 years old and over,LOW_CI,8.7
Denmark,Ischemic stroke 30 day mortality using linked data,Female,45 years old and over,UP_CI,10.3
Denmark,Ischemic stroke 30 day mortality using unlinked data,Female,45 years old and over,AS_STD_RATE_CPAT,4.6
Denmark,Ischemic stroke 30 day mortality using unlinked data,Female,45 years old and over,LOW_CI,4.0
Denmark,Ischemic stroke 30 day mortality using unlinked data,Female,45 years old and over,UP_CI,5.2
Denmark,AMI 30 day mortality using linked data,Total,45 years old and over,AS_STD_RATE_CPAT,6.8
Denmark,AMI 30 day mortality using linked data,Total,45 years old and over,LOW_CI,6.2
Denmark,AMI 30 day mortality using linked data,Total,45 years old and over,UP_CI,7.4
Denmark,AMI 30 day mortality using unlinked data,Total,45 years old and over,AS_STD_RATE_CPAT,4.5
Denmark,AMI 30 day mortality using unlinked data,Total,45 years old and over,LOW_CI,4.0
Denmark,AMI 30 day mortality using unlinked data,Total,45 years old and over,UP_CI,5.0
Denmark,Hemorrhagic stroke 30 day mortality using linked data,Total,45 years old and over,AS_STD_RATE_CPAT,28.8
Denmark,Hemorrhagic stroke 30 day mortality using linked data,Total,45 years old and over,LOW_CI,27.1
Denmark,Hemorrhagic stroke 30 day mortality using linked data,Total,45 years old and over,UP_CI,30.6
Denmark,Hemorrhagic stroke 30 day mortality using unlinked data,Total,45 years old and over,AS_STD_RATE_CPAT,23.9
Denmark,Hemorrhagic stroke 30 day mortality using unlinked data,Total,45 years old and over,LOW_CI,22.3
Denmark,Hemorrhagic stroke 30 day mortality using unlinked data,Total,45 years old and over,UP_CI,25.6
Denmark,Ischemic stroke 30 day mortality using linked data,Total,45 years old and over,AS_STD_RATE_CPAT,9.0
Denmark,Ischemic stroke 30 day mortality using linked data,Total,45 years old and over,LOW_CI,8.4
Denmark,Ischemic stroke 30 day mortality using linked data,Total,45 years old and over,UP_CI,9.6
Denmark,Ischemic stroke 30 day mortality using unlinked data,Total,45 years old and over,AS_STD_RATE_CPAT,4.8
Denmark,Ischemic stroke 30 day mortality using unlinked data,Total,45 years old and over,LOW_CI,4.4
Denmark,Ischemic stroke 30 day mortality using unlinked data,Total,45 years old and over,UP_CI,5.3
Germany,AMI 30 day mortality using unlinked data,Male,45 years old and over,AS_STD_RATE_CPAT,8.0
Germany,AMI 30 day mortality using unlinked data,Male,45 years old and over,LOW_CI,7.5
Germany,AMI 30 day mortality using unlinked data,Male,45 years old and over,UP_CI,8.5
Germany,Hemorrhagic stroke 30 day mortality using unlinked data,Male,45 years old and over,AS_STD_RATE_CPAT,20.0
Germany,Hemorrhagic stroke 30 day mortality using unlinked data,Male,45 years old and over,LOW_CI,18.1
Germany,Hemorrhagic stroke 30 day mortality using unlinked data,Male,45 years old and over,UP_CI,21.8
Germany,Ischemic stroke 30 day mortality using unlinked data,Male,45 years old and over,AS_STD_RATE_CPAT,5.4
Germany,Ischemic stroke 30 day mortality using unlinked data,Male,45 years old and over,LOW_CI,4.9
Germany,Ischemic stroke 30 day mortality using unlinked data,Male,45 years old and over,UP_CI,5.9
Germany,AMI 30 day mortality using unlinked data,Female,45 years old and over,AS_STD_RATE_CPAT,8.4
Germany,AMI 30 day mortality using unlinked data,Female,45 years old and over,LOW_CI,7.7
Germany,AMI 30 day mortality using unlinked data,Female,45 years old and over,UP_CI,9.1
Germany,Hemorrhagic stroke 30 day mortality using unlinked data,Female,45 years old and over,AS_STD_RATE_CPAT,23.5
Germany,Hemorrhagic stroke 30 day mortality using unlinked data,Female,45 years old and over,LOW_CI,21.6
Germany,Hemorrhagic stroke 30 day mortality using unlinked data,Female,45 years old and over,UP_CI,25.5
Germany,Ischemic stroke 30 day mortality using unlinked data,Female,45 years old and over,AS_STD_RATE_CPAT,6.8
Germany,Ischemic stroke 30 day mortality using unlinked data,Female,45 years old and over,LOW_CI,6.3
Germany,Ischemic stroke 30 day mortality using unlinked data,Female,45 years old and over,UP_CI,7.3
Germany,AMI 30 day mortality using unlinked data,Total,45 years old and over,AS_STD_RATE_CPAT,8.3
Germany,AMI 30 day mortality using unlinked data,Total,45 years old and over,LOW_CI,7.8
Germany,AMI 30 day mortality using unlinked data,Total,45 years old and over,UP_CI,8.7
Germany,Hemorrhagic stroke 30 day mortality using unlinked data,Total,45 years old and over,AS_STD_RATE_CPAT,22.0
Germany,Hemorrhagic stroke 30 day mortality using unlinked data,Total,45 years old and over,LOW_CI,20.7
Germany,Hemorrhagic stroke 30 day mortality using unlinked data,Total,45 years old and over,UP_CI,23.4
Germany,Ischemic stroke 30 day mortality using unlinked data,Total,45 years old and over,AS_STD_RATE_CPAT,6.2
Germany,Ischemic stroke 30 day mortality using unlinked data,Total,45 years old and over,LOW_CI,5.9
Germany,Ischemic stroke 30 day mortality using unlinked data,Total,45 years old and over,UP_CI,6.6
New Zealand,AMI 30 day mortality using linked data,Male,45 years old and over,AS_STD_RATE_CPAT,7.5
New Zealand,AMI 30 day mortality using linked data,Male,45 years old and over,LOW_CI,6.7
New Zealand,AMI 30 day mortality using linked data,Male,45 years old and over,UP_CI,8.2
New Zealand,AMI 30 day mortality using unlinked data,Male,45 years old and over,AS_STD_RATE_CPAT,4.2
New Zealand,AMI 30 day mortality using unlinked data,Male,45 years old and over,LOW_CI,3.7
New Zealand,AMI 30 day mortality using unlinked data,Male,45 years old and over,UP_CI,4.7
New Zealand,Hemorrhagic stroke 30 day mortality using linked data,Male,45 years old and over,AS_STD_RATE_CPAT,28.5
New Zealand,Hemorrhagic stroke 30 day mortality using linked data,Male,45 years old and over,LOW_CI,25.3
New Zealand,Hemorrhagic stroke 30 day mortality using linked data,Male,45 years old and over,UP_CI,31.6
New Zealand,Hemorrhagic stroke 30 day mortality using unlinked data,Male,45 years old and over,AS_STD_RATE_CPAT,19.0
New Zealand,Hemorrhagic stroke 30 day mortality using unlinked data,Male,45 years old and over,LOW_CI,16.6
New Zealand,Hemorrhagic stroke 30 day mortality using unlinked data,Male,45 years old and over,UP_CI,21.5
New Zealand,Ischemic stroke 30 day mortality using linked data,Male,45 years old and over,AS_STD_RATE_CPAT,10.0
New Zealand,Ischemic stroke 30 day mortality using linked data,Male,45 years old and over,LOW_CI,8.9
New Zealand,Ischemic stroke 30 day mortality using linked data,Male,45 years old and over,UP_CI,11.0
New Zealand,Ischemic stroke 30 day mortality using unlinked data,Male,45 years old and over,AS_STD_RATE_CPAT,5.4
New Zealand,Ischemic stroke 30 day mortality using unlinked data,Male,45 years old and over,LOW_CI,4.6
New Zealand,Ischemic stroke 30 day mortality using unlinked data,Male,45 years old and over,UP_CI,6.1
New Zealand,AMI 30 day mortality using linked data,Female,45 years old and over,AS_STD_RATE_CPAT,8.3
New Zealand,AMI 30 day mortality using linked data,Female,45 years old and over,LOW_CI,7.3
New Zealand,AMI 30 day mortality using linked data,Female,45 years old and over,UP_CI,9.3
New Zealand,AMI 30 day mortality using unlinked data,Female,45 years old and over,AS_STD_RATE_CPAT,4.5
New Zealand,AMI 30 day mortality using unlinked data,Female,45 years old and over,LOW_CI,3.8
New Zealand,AMI 30 day mortality using unlinked data,Female,45 years old and over,UP_CI,5.1
New Zealand,Hemorrhagic stroke 30 day mortality using linked data,Female,45 years old and over,AS_STD_RATE_CPAT,36.6
New Zealand,Hemorrhagic stroke 30 day mortality using linked data,Female,45 years old and over,LOW_CI,33.3
New Zealand,Hemorrhagic stroke 30 day mortality using linked data,Female,45 years old and over,UP_CI,39.8
New Zealand,Hemorrhagic stroke 30 day mortality using unlinked data,Female,45 years old and over,AS_STD_RATE_CPAT,22.2
New Zealand,Hemorrhagic stroke 30 day mortality using unlinked data,Female,45 years old and over,LOW_CI,19.8
New Zealand,Hemorrhagic stroke 30 day mortality using unlinked data,Female,45 years old and over,UP_CI,24.7
New Zealand,Ischemic stroke 30 day mortality using linked data,Female,45 years old and over,AS_STD_RATE_CPAT,13.0
New Zealand,Ischemic stroke 30 day mortality using linked data,Female,45 years old and over,LOW_CI,11.9
New Zealand,Ischemic stroke 30 day mortality using linked data,Female,45 years old and over,UP_CI,14.2
New Zealand,Ischemic stroke 30 day mortality using unlinked data,Female,45 years old and over,AS_STD_RATE_CPAT,7.2
New Zealand,Ischemic stroke 30 day mortality using unlinked data,Female,45 years old and over,LOW_CI,6.4
New Zealand,Ischemic stroke 30 day mortality using unlinked data,Female,45 years old and over,UP_CI,8.0
New Zealand,AMI 30 day mortality using linked data,Total,45 years old and over,AS_STD_RATE_CPAT,7.7
New Zealand,AMI 30 day mortality using linked data,Total,45 years old and over,LOW_CI,7.2
New Zealand,AMI 30 day mortality using linked data,Total,45 years old and over,UP_CI,8.3
New Zealand,AMI 30 day mortality using unlinked data,Total,45 years old and over,AS_STD_RATE_CPAT,4.3
New Zealand,AMI 30 day mortality using unlinked data,Total,45 years old and over,LOW_CI,3.9
New Zealand,AMI 30 day mortality using unlinked data,Total,45 years old and over,UP_CI,4.7
New Zealand,Hemorrhagic stroke 30 day mortality using linked data,Total,45 years old and over,AS_STD_RATE_CPAT,32.6
New Zealand,Hemorrhagic stroke 30 day mortality using linked data,Total,45 years old and over,LOW_CI,30.4
New Zealand,Hemorrhagic stroke 30 day mortality using linked data,Total,45 years old and over,UP_CI,34.9
New Zealand,Hemorrhagic stroke 30 day mortality using unlinked data,Total,45 years old and over,AS_STD_RATE_CPAT,20.9
New Zealand,Hemorrhagic stroke 30 day mortality using unlinked data,Total,45 years old and over,LOW_CI,19.1
New Zealand,Hemorrhagic stroke 30 day mortality using unlinked data,Total,45 years old and over,UP_CI,22.6
New Zealand,Ischemic stroke 30 day mortality using linked data,Total,45 years old and over,AS_STD_RATE_CPAT,11.7
New Zealand,Ischemic stroke 30 day mortality using linked data,Total,45 years old and over,LOW_CI,10.9
New Zealand,Ischemic stroke 30 day mortality using linked data,Total,45 years old and over,UP_CI,12.5
New Zealand,Ischemic stroke 30 day mortality using unlinked data,Total,45 years old and over,AS_STD_RATE_CPAT,6.5
New Zealand,Ischemic stroke 30 day mortality using unlinked data,Total,45 years old and over,LOW_CI,5.9
New Zealand,Ischemic stroke 30 day mortality using unlinked data,Total,45 years old and over,UP_CI,7.0
Norway,AMI 30 day mortality using linked data,Male,45 years old and over,AS_STD_RATE_CPAT,6.3
Norway,AMI 30 day mortality using linked data,Male,45 years old and over,LOW_CI,5.7
Norway,AMI 30 day mortality using linked data,Male,45 years old and over,UP_CI,6.9
Norway,AMI 30 day mortality using unlinked data,Male,45 years old and over,AS_STD_RATE_CPAT,3.0
Norway,AMI 30 day mortality using unlinked data,Male,45 years old and over,LOW_CI,2.6
