Variable,Measure,Country,Value
"Computed Tomography exams, in hospitals",Per scanner,Israel,15266.5
"Computed Tomography exams, in ambulatory care",Number,Australia,3222581.0
"Computed Tomography exams, in ambulatory care",Per 1 000 population,Australia,127.0
"Computed Tomography exams, in ambulatory care",Number,France,5135649.0
"Computed Tomography exams, in ambulatory care",Per 1 000 population,France,76.4
"Computed Tomography exams, in ambulatory care",Per scanner,France,10312.5
"Computed Tomography exams, in ambulatory care",Number,Netherlands,8130.0
"Computed Tomography exams, in ambulatory care",Per 1 000 population,Netherlands,0.5
"Computed Tomography exams, in ambulatory care",Per scanner,Netherlands,580.7
"Computed Tomography exams, in ambulatory care",Number,Norway,459547.0
"Computed Tomography exams, in ambulatory care",Per 1 000 population,Norway,85.9
"Computed Tomography exams, in ambulatory care",Number,United States,20100000.0
"Computed Tomography exams, in ambulatory care",Per 1 000 population,United States,61.2
"Computed Tomography exams, in ambulatory care",Per scanner,United States,3701.7
"Computed Tomography exams, in ambulatory care",Number,Israel,232908.0
"Computed Tomography exams, in ambulatory care",Per 1 000 population,Israel,25.7
"Computed Tomography exams, in ambulatory care",Per scanner,Israel,25878.7
"Magnetic Resonance Imaging exams, in hospitals",Number,Australia,51802.0
"Magnetic Resonance Imaging exams, in hospitals",Per 1 000 population,Australia,2.0
"Magnetic Resonance Imaging exams, in hospitals",Number,Denmark,515105.0
"Magnetic Resonance Imaging exams, in hospitals",Per 1 000 population,Denmark,88.6
"Magnetic Resonance Imaging exams, in hospitals",Number,France,3324774.0
"Magnetic Resonance Imaging exams, in hospitals",Per 1 000 population,France,49.4
"Magnetic Resonance Imaging exams, in hospitals",Per scanner,France,7454.7
"Magnetic Resonance Imaging exams, in hospitals",Number,Germany,2050188.0
"Magnetic Resonance Imaging exams, in hospitals",Per 1 000 population,Germany,24.7
"Magnetic Resonance Imaging exams, in hospitals",Per scanner,Germany,1963.8
"Magnetic Resonance Imaging exams, in hospitals",Number,Netherlands,956697.0
"Magnetic Resonance Imaging exams, in hospitals",Per 1 000 population,Netherlands,55.2
"Magnetic Resonance Imaging exams, in hospitals",Per scanner,Netherlands,4408.7
"Magnetic Resonance Imaging exams, in hospitals",Number,Switzerland,696231.0
"Magnetic Resonance Imaging exams, in hospitals",Per 1 000 population,Switzerland,81.2
"Magnetic Resonance Imaging exams, in hospitals",Per scanner,Switzerland,3238.3
"Magnetic Resonance Imaging exams, in hospitals",Number,United Kingdom,4523480.6
"Magnetic Resonance Imaging exams, in hospitals",Per 1 000 population,United Kingdom,67.7
"Magnetic Resonance Imaging exams, in hospitals",Per scanner,United Kingdom,9212.8
"Magnetic Resonance Imaging exams, in hospitals",Number,United States,19000000.0
"Magnetic Resonance Imaging exams, in hospitals",Per 1 000 population,United States,57.9
"Magnetic Resonance Imaging exams, in hospitals",Per scanner,United States,3201.3
"Magnetic Resonance Imaging exams, in hospitals",Number,Israel,367566.0
"Magnetic Resonance Imaging exams, in hospitals",Per 1 000 population,Israel,40.6
"Magnetic Resonance Imaging exams, in hospitals",Per scanner,Israel,8751.6
"Magnetic Resonance Imaging exams, in ambulatory care",Number,Australia,1250031.0
"Magnetic Resonance Imaging exams, in ambulatory care",Per 1 000 population,Australia,49.3
"Magnetic Resonance Imaging exams, in ambulatory care",Number,France,4951788.0
"Magnetic Resonance Imaging exams, in ambulatory care",Per 1 000 population,France,73.6
"Magnetic Resonance Imaging exams, in ambulatory care",Per scanner,France,8421.4
"Magnetic Resonance Imaging exams, in ambulatory care",Number,Netherlands,74656.0
"Magnetic Resonance Imaging exams, in ambulatory care",Per 1 000 population,Netherlands,4.3
"Magnetic Resonance Imaging exams, in ambulatory care",Per scanner,Netherlands,3245.9
"Magnetic Resonance Imaging exams, in ambulatory care",Number,Norway,623356.0
"Magnetic Resonance Imaging exams, in ambulatory care",Per 1 000 population,Norway,116.6
"Magnetic Resonance Imaging exams, in ambulatory care",Number,United States,23000000.0
"Magnetic Resonance Imaging exams, in ambulatory care",Per 1 000 population,United States,70.1
"Magnetic Resonance Imaging exams, in ambulatory care",Per scanner,United States,3133.5
"Magnetic Resonance Imaging exams, in ambulatory care",Number,Israel,62306.0
"Magnetic Resonance Imaging exams, in ambulatory care",Per 1 000 population,Israel,6.9
"Magnetic Resonance Imaging exams, in ambulatory care",Per scanner,Israel,15576.5
All causes,Days,Canada,8.2
All causes,Days,France,8.8
All causes,Days,Italy,8.0
All causes,Days,Netherlands,4.4
All causes,Days,Norway,5.3
All causes,Days,Sweden,5.6
All causes,Days,Switzerland,8.2
All causes,Days,Israel,6.0
Infectious and parasitic diseases,Days,Canada,9.2
Infectious and parasitic diseases,Days,France,6.5
Infectious and parasitic diseases,Days,Italy,12.1
Infectious and parasitic diseases,Days,Netherlands,6.6
Infectious and parasitic diseases,Days,Norway,5.1
Infectious and parasitic diseases,Days,Sweden,5.7
Infectious and parasitic diseases,Days,Switzerland,7.8
Infectious and parasitic diseases,Days,Israel,6.2
Intestinal infectious diseases except diarrhoea,Days,Canada,6.8
Intestinal infectious diseases except diarrhoea,Days,France,4.4
Intestinal infectious diseases except diarrhoea,Days,Italy,9.1
Intestinal infectious diseases except diarrhoea,Days,Netherlands,4.2
Intestinal infectious diseases except diarrhoea,Days,Norway,4.4
Intestinal infectious diseases except diarrhoea,Days,Sweden,5.2
Intestinal infectious diseases except diarrhoea,Days,Switzerland,4.5
Intestinal infectious diseases except diarrhoea,Days,Israel,4.5
Diarrhoea and gastroenteritis of presumed infectious origin,Days,Canada,4.5
Diarrhoea and gastroenteritis of presumed infectious origin,Days,France,3.3
Diarrhoea and gastroenteritis of presumed infectious origin,Days,Italy,5.5
Diarrhoea and gastroenteritis of presumed infectious origin,Days,Netherlands,3.7
Diarrhoea and gastroenteritis of presumed infectious origin,Days,Norway,2.3
Diarrhoea and gastroenteritis of presumed infectious origin,Days,Sweden,2.8
Diarrhoea and gastroenteritis of presumed infectious origin,Days,Switzerland,3.7
Diarrhoea and gastroenteritis of presumed infectious origin,Days,Israel,2.8
Tuberculosis,Days,Canada,21.8
Tuberculosis,Days,France,16.8
Tuberculosis,Days,Italy,24.4
Tuberculosis,Days,Netherlands,26.0
Tuberculosis,Days,Norway,11.7
Tuberculosis,Days,Sweden,15.9
Tuberculosis,Days,Switzerland,16.2
Tuberculosis,Days,Israel,21.9
Septicaemia,Days,Canada,12.3
Septicaemia,Days,France,11.5
Septicaemia,Days,Italy,15.5
Septicaemia,Days,Netherlands,10.4
Septicaemia,Days,Norway,8.4
Septicaemia,Days,Sweden,7.7
Septicaemia,Days,Switzerland,11.6
Septicaemia,Days,Israel,12.3
Human immunodeficiency virus (HIV) disease,Days,Canada,16.4
Human immunodeficiency virus (HIV) disease,Days,France,14.8
Human immunodeficiency virus (HIV) disease,Days,Italy,17.6
Human immunodeficiency virus (HIV) disease,Days,Netherlands,14.9
Human immunodeficiency virus (HIV) disease,Days,Norway,10.4
Human immunodeficiency virus (HIV) disease,Days,Sweden,14.7
Human immunodeficiency virus (HIV) disease,Days,Switzerland,15.5
Human immunodeficiency virus (HIV) disease,Days,Israel,26.3
Other infectious and parasitic diseases,Days,Canada,8.6
Other infectious and parasitic diseases,Days,France,7.1
Other infectious and parasitic diseases,Days,Italy,9.3
Other infectious and parasitic diseases,Days,Netherlands,7.2
Other infectious and parasitic diseases,Days,Norway,5.0
Other infectious and parasitic diseases,Days,Sweden,5.3
Other infectious and parasitic diseases,Days,Switzerland,7.4
Other infectious and parasitic diseases,Days,Israel,4.7
Neoplasms,Days,Canada,8.4
Neoplasms,Days,France,7.2
Neoplasms,Days,Italy,8.2
Neoplasms,Days,Netherlands,4.9
Neoplasms,Days,Norway,5.4
Neoplasms,Days,Sweden,6.5
Neoplasms,Days,Switzerland,8.0
Neoplasms,Days,Israel,6.2
"Malignant neoplasm of colon, rectum and anus",Days,Canada,9.7
"Malignant neoplasm of colon, rectum and anus",Days,France,10.9
"Malignant neoplasm of colon, rectum and anus",Days,Italy,12.6
"Malignant neoplasm of colon, rectum and anus",Days,Netherlands,6.4
"Malignant neoplasm of colon, rectum and anus",Days,Norway,7.1
"Malignant neoplasm of colon, rectum and anus",Days,Sweden,8.4
"Malignant neoplasm of colon, rectum and anus",Days,Switzerland,11.6
"Malignant neoplasm of colon, rectum and anus",Days,Israel,9.3
"Malignant neoplasm of trachea, bronchus and lung",Days,Canada,10.0
"Malignant neoplasm of trachea, bronchus and lung",Days,France,10.0
"Malignant neoplasm of trachea, bronchus and lung",Days,Italy,10.7
"Malignant neoplasm of trachea, bronchus and lung",Days,Netherlands,4.9
"Malignant neoplasm of trachea, bronchus and lung",Days,Norway,6.1
"Malignant neoplasm of trachea, bronchus and lung",Days,Sweden,8.8
"Malignant neoplasm of trachea, bronchus and lung",Days,Switzerland,10.5
"Malignant neoplasm of trachea, bronchus and lung",Days,Israel,8.4
Malignant neoplasm of skin,Days,Canada,7.3
Malignant neoplasm of skin,Days,France,3.0
Malignant neoplasm of skin,Days,Italy,3.6
Malignant neoplasm of skin,Days,Netherlands,3.0
Malignant neoplasm of skin,Days,Norway,4.3
Malignant neoplasm of skin,Days,Sweden,5.0
Malignant neoplasm of skin,Days,Switzerland,5.4
Malignant neoplasm of skin,Days,Israel,4.7
Malignant neoplasm of breast,Days,Canada,4.5
Malignant neoplasm of breast,Days,France,3.9
Malignant neoplasm of breast,Days,Italy,3.5
Malignant neoplasm of breast,Days,Netherlands,2.0
Malignant neoplasm of breast,Days,Norway,3.2
Malignant neoplasm of breast,Days,Sweden,3.3
Malignant neoplasm of breast,Days,Switzerland,5.6
Malignant neoplasm of breast,Days,Israel,2.8
Malignant neoplasm of uterus,Days,Canada,4.2
Malignant neoplasm of uterus,Days,France,5.8
Malignant neoplasm of uterus,Days,Italy,6.5
Malignant neoplasm of uterus,Days,Netherlands,2.9
Malignant neoplasm of uterus,Days,Norway,4.6
Malignant neoplasm of uterus,Days,Sweden,4.5
Malignant neoplasm of uterus,Days,Switzerland,7.7
Malignant neoplasm of uterus,Days,Israel,5.1
Malignant neoplasm of ovary,Days,Canada,7.6
Malignant neoplasm of ovary,Days,France,8.7
Malignant neoplasm of ovary,Days,Italy,9.7
Malignant neoplasm of ovary,Days,Netherlands,5.9
Malignant neoplasm of ovary,Days,Norway,5.1
Malignant neoplasm of ovary,Days,Sweden,7.4
Malignant neoplasm of ovary,Days,Switzerland,10.2
Malignant neoplasm of ovary,Days,Israel,6.6
Malignant neoplasm of prostate,Days,Canada,4.7
Malignant neoplasm of prostate,Days,France,5.5
Malignant neoplasm of prostate,Days,Italy,6.6
Malignant neoplasm of prostate,Days,Netherlands,2.8
Malignant neoplasm of prostate,Days,Norway,4.0
Malignant neoplasm of prostate,Days,Sweden,4.2
Malignant neoplasm of prostate,Days,Switzerland,6.5
Malignant neoplasm of prostate,Days,Israel,4.6
Malignant neoplasm of bladder,Days,Canada,6.3
Malignant neoplasm of bladder,Days,France,5.5
Malignant neoplasm of bladder,Days,Italy,5.5
Malignant neoplasm of bladder,Days,Netherlands,3.1
Malignant neoplasm of bladder,Days,Norway,3.5
Malignant neoplasm of bladder,Days,Sweden,4.3
Malignant neoplasm of bladder,Days,Switzerland,5.7
Malignant neoplasm of bladder,Days,Israel,4.1
Other Malignant neoplasms,Days,Canada,11.0
Other Malignant neoplasms,Days,France,10.0
Other Malignant neoplasms,Days,Italy,11.1
Other Malignant neoplasms,Days,Netherlands,6.3
Other Malignant neoplasms,Days,Norway,6.3
Other Malignant neoplasms,Days,Sweden,8.3
Other Malignant neoplasms,Days,Switzerland,9.9
Other Malignant neoplasms,Days,Israel,9.1
Carcinoma in situ,Days,Canada,3.1
Carcinoma in situ,Days,France,3.6
Carcinoma in situ,Days,Italy,4.0
Carcinoma in situ,Days,Netherlands,1.9
Carcinoma in situ,Days,Norway,2.1
Carcinoma in situ,Days,Sweden,2.1
Carcinoma in situ,Days,Switzerland,3.8
Carcinoma in situ,Days,Israel,3.3
"Benign neoplasm of colon, rectum and anus",Days,Canada,5.4
"Benign neoplasm of colon, rectum and anus",Days,France,2.2
"Benign neoplasm of colon, rectum and anus",Days,Italy,5.6
"Benign neoplasm of colon, rectum and anus",Days,Netherlands,1.8
"Benign neoplasm of colon, rectum and anus",Days,Norway,3.6
"Benign neoplasm of colon, rectum and anus",Days,Sweden,4.0
"Benign neoplasm of colon, rectum and anus",Days,Switzerland,4.0
"Benign neoplasm of colon, rectum and anus",Days,Israel,4.8
Leiomyoma of uterus,Days,Canada,1.9
Leiomyoma of uterus,Days,France,3.2
Leiomyoma of uterus,Days,Italy,3.9
Leiomyoma of uterus,Days,Netherlands,2.1
Leiomyoma of uterus,Days,Norway,2.2
Leiomyoma of uterus,Days,Sweden,1.8
Leiomyoma of uterus,Days,Switzerland,3.1
Leiomyoma of uterus,Days,Israel,3.0
Other Benign neoplasms and neoplasms of uncertain or unknown behaviour,Days,Canada,5.3
Other Benign neoplasms and neoplasms of uncertain or unknown behaviour,Days,France,4.7
Other Benign neoplasms and neoplasms of uncertain or unknown behaviour,Days,Italy,5.8
Other Benign neoplasms and neoplasms of uncertain or unknown behaviour,Days,Netherlands,4.1
Other Benign neoplasms and neoplasms of uncertain or unknown behaviour,Days,Norway,3.9
Other Benign neoplasms and neoplasms of uncertain or unknown behaviour,Days,Sweden,4.7
Other Benign neoplasms and neoplasms of uncertain or unknown behaviour,Days,Switzerland,5.2
Other Benign neoplasms and neoplasms of uncertain or unknown behaviour,Days,Israel,4.3
Diseases of the blood and bloodforming organs,Days,Canada,6.8
Diseases of the blood and bloodforming organs,Days,France,6.2
Diseases of the blood and bloodforming organs,Days,Italy,8.6
Diseases of the blood and bloodforming organs,Days,Netherlands,3.9
Diseases of the blood and bloodforming organs,Days,Norway,3.5
Diseases of the blood and bloodforming organs,Days,Sweden,4.5
Diseases of the blood and bloodforming organs,Days,Switzerland,7.1
Diseases of the blood and bloodforming organs,Days,Israel,5.6
Anaemias,Days,Canada,6.7
Anaemias,Days,France,6.1
Anaemias,Days,Italy,8.8
Anaemias,Days,Netherlands,3.2
Anaemias,Days,Norway,3.2
Anaemias,Days,Sweden,4.0
Anaemias,Days,Switzerland,6.7
Anaemias,Days,Israel,4.9
Other diseases of the blood and bloodforming organs,Days,Canada,6.9
Other diseases of the blood and bloodforming organs,Days,France,6.5
Other diseases of the blood and bloodforming organs,Days,Italy,8.1
Other diseases of the blood and bloodforming organs,Days,Netherlands,5.8
Other diseases of the blood and bloodforming organs,Days,Norway,4.2
Other diseases of the blood and bloodforming organs,Days,Sweden,5.9
Other diseases of the blood and bloodforming organs,Days,Switzerland,7.6
Other diseases of the blood and bloodforming organs,Days,Israel,7.2
"Endocrine, nutritional and metabolic diseases",Days,Canada,8.0
"Endocrine, nutritional and metabolic diseases",Days,France,5.9
"Endocrine, nutritional and metabolic diseases",Days,Italy,6.4
"Endocrine, nutritional and metabolic diseases",Days,Netherlands,4.3
"Endocrine, nutritional and metabolic diseases",Days,Norway,3.8
"Endocrine, nutritional and metabolic diseases",Days,Sweden,4.3
"Endocrine, nutritional and metabolic diseases",Days,Switzerland,7.1
"Endocrine, nutritional and metabolic diseases",Days,Israel,5.2
Diabetes mellitus,Days,Canada,10.1
Diabetes mellitus,Days,France,6.2
Diabetes mellitus,Days,Italy,9.1
Diabetes mellitus,Days,Netherlands,6.4
Diabetes mellitus,Days,Norway,4.6
Diabetes mellitus,Days,Sweden,5.7
Diabetes mellitus,Days,Switzerland,9.8
Diabetes mellitus,Days,Israel,8.2
"Other endocrine, nutritional and metabolic diseases",Days,Canada,6.0
"Other endocrine, nutritional and metabolic diseases",Days,France,5.8
"Other endocrine, nutritional and metabolic diseases",Days,Italy,5.9
"Other endocrine, nutritional and metabolic diseases",Days,Netherlands,3.7
"Other endocrine, nutritional and metabolic diseases",Days,Norway,3.6
"Other endocrine, nutritional and metabolic diseases",Days,Sweden,3.7
"Other endocrine, nutritional and metabolic diseases",Days,Switzerland,5.9
"Other endocrine, nutritional and metabolic diseases",Days,Israel,4.4
Mental and behavioural disorders,Days,Canada,21.5
Mental and behavioural disorders,Days,France,23.2
Mental and behavioural disorders,Days,Italy,13.7
Mental and behavioural disorders,Days,Netherlands,9.5
Mental and behavioural disorders,Days,Norway,17.3
Mental and behavioural disorders,Days,Sweden,16.3
Mental and behavioural disorders,Days,Switzerland,26.7
Mental and behavioural disorders,Days,Israel,48.6
Dementia,Days,Canada,48.0
Dementia,Days,France,17.5
Dementia,Days,Italy,15.6
Dementia,Days,Netherlands,13.4
Dementia,Days,Norway,10.0
Dementia,Days,Sweden,9.9
Dementia,Days,Switzerland,20.0
Dementia,Days,Israel,24.2
Mental and behavioural disorders due to alcohol,Days,Canada,6.7
Mental and behavioural disorders due to alcohol,Days,France,10.5
Mental and behavioural disorders due to alcohol,Days,Italy,11.7
Mental and behavioural disorders due to alcohol,Days,Netherlands,3.9
Mental and behavioural disorders due to alcohol,Days,Norway,15.3
Mental and behavioural disorders due to alcohol,Days,Sweden,4.3
Mental and behavioural disorders due to alcohol,Days,Switzerland,17.9
Mental and behavioural disorders due to alcohol,Days,Israel,4.7
Mental and behavioural disorders due to use of Other psychoactive substance,Days,Canada,9.6
Mental and behavioural disorders due to use of Other psychoactive substance,Days,France,15.5
Mental and behavioural disorders due to use of Other psychoactive substance,Days,Italy,10.1
Mental and behavioural disorders due to use of Other psychoactive substance,Days,Netherlands,3.2
Mental and behavioural disorders due to use of Other psychoactive substance,Days,Norway,21.7
Mental and behavioural disorders due to use of Other psychoactive substance,Days,Sweden,7.0
Mental and behavioural disorders due to use of Other psychoactive substance,Days,Switzerland,23.1
Mental and behavioural disorders due to use of Other psychoactive substance,Days,Israel,13.5
"Schizophrenia, schizotypal and delusional disorders",Days,Canada,37.9
"Schizophrenia, schizotypal and delusional disorders",Days,France,37.9
"Schizophrenia, schizotypal and delusional disorders",Days,Italy,15.0
"Schizophrenia, schizotypal and delusional disorders",Days,Netherlands,27.7
"Schizophrenia, schizotypal and delusional disorders",Days,Norway,21.7
"Schizophrenia, schizotypal and delusional disorders",Days,Sweden,46.8
"Schizophrenia, schizotypal and delusional disorders",Days,Switzerland,36.8
"Schizophrenia, schizotypal and delusional disorders",Days,Israel,74.4
Mood (affective) disorders,Days,Canada,18.4
Mood (affective) disorders,Days,France,25.8
Mood (affective) disorders,Days,Italy,15.1
Mood (affective) disorders,Days,Netherlands,27.4
Mood (affective) disorders,Days,Norway,17.7
Mood (affective) disorders,Days,Sweden,16.5
Mood (affective) disorders,Days,Switzerland,31.7
Mood (affective) disorders,Days,Israel,30.1
Other Mental and behavioural disorders,Days,Canada,17.6
Other Mental and behavioural disorders,Days,France,20.0
Other Mental and behavioural disorders,Days,Italy,11.9
Other Mental and behavioural disorders,Days,Netherlands,8.5
Other Mental and behavioural disorders,Days,Norway,13.1
Other Mental and behavioural disorders,Days,Sweden,15.8
Other Mental and behavioural disorders,Days,Switzerland,23.2
Other Mental and behavioural disorders,Days,Israel,21.5
Diseases of the nervous system,Days,Canada,14.2
Diseases of the nervous system,Days,France,6.1
Diseases of the nervous system,Days,Italy,14.0
Diseases of the nervous system,Days,Netherlands,3.7
Diseases of the nervous system,Days,Norway,4.1
Diseases of the nervous system,Days,Sweden,5.0
Diseases of the nervous system,Days,Switzerland,12.8
Diseases of the nervous system,Days,Israel,7.8
Alzheimer's disease,Days,Canada,42.5
Alzheimer's disease,Days,France,10.5
Alzheimer's disease,Days,Italy,17.2
Alzheimer's disease,Days,Netherlands,13.0
Alzheimer's disease,Days,Norway,11.8
Alzheimer's disease,Days,Sweden,9.2
Alzheimer's disease,Days,Switzerland,26.9
Alzheimer's disease,Days,Israel,5.9
Multiple sclerosis,Days,Canada,16.5
Multiple sclerosis,Days,France,5.6
Multiple sclerosis,Days,Italy,14.6
Multiple sclerosis,Days,Netherlands,4.0
Multiple sclerosis,Days,Norway,3.9
Multiple sclerosis,Days,Sweden,8.2
Multiple sclerosis,Days,Switzerland,17.9
Multiple sclerosis,Days,Israel,6.8
Epilepsy,Days,Canada,6.4
Epilepsy,Days,France,5.3
Epilepsy,Days,Italy,7.3
Epilepsy,Days,Netherlands,4.0
Epilepsy,Days,Norway,4.5
Epilepsy,Days,Sweden,3.9
Epilepsy,Days,Switzerland,10.4
Epilepsy,Days,Israel,4.9
Transient cerebral ischaemic attacks and related syndromes,Days,Canada,4.2
Transient cerebral ischaemic attacks and related syndromes,Days,France,4.3
Transient cerebral ischaemic attacks and related syndromes,Days,Italy,6.6
Transient cerebral ischaemic attacks and related syndromes,Days,Netherlands,1.8
Transient cerebral ischaemic attacks and related syndromes,Days,Norway,2.4
Transient cerebral ischaemic attacks and related syndromes,Days,Sweden,2.3
Transient cerebral ischaemic attacks and related syndromes,Days,Switzerland,3.8
Transient cerebral ischaemic attacks and related syndromes,Days,Israel,3.0
Other diseases of the nervous system,Days,Canada,14.9
Other diseases of the nervous system,Days,France,6.9
Other diseases of the nervous system,Days,Italy,17.0
Other diseases of the nervous system,Days,Netherlands,4.1
Other diseases of the nervous system,Days,Norway,4.0
Other diseases of the nervous system,Days,Sweden,6.6
Other diseases of the nervous system,Days,Switzerland,13.9
Other diseases of the nervous system,Days,Israel,10.4
Diseases of the eye and adnexa,Days,Canada,3.5
Diseases of the eye and adnexa,Days,France,2.2
Diseases of the eye and adnexa,Days,Italy,2.9
Diseases of the eye and adnexa,Days,Netherlands,2.5
Diseases of the eye and adnexa,Days,Norway,2.6
Diseases of the eye and adnexa,Days,Sweden,2.4
Diseases of the eye and adnexa,Days,Switzerland,2.3
Diseases of the eye and adnexa,Days,Israel,2.8
Cataract,Days,Canada,2.4
